o,code,railway_line,date_opened,lon,lat
Allawah,ALW,Illawarra,25/10/1925,151.1145487,-33.96973
Arncliffe,ARN,Illawarra,15/10/1884,151.1471044,-33.9368139
Artarmon,ATM,North Shore,6/7/1898,151.1851338,-33.8088462
Ashfield,ASH,Main Suburban,26/9/1855,151.1257964,-33.8876216
Asquith,ASQ,Main Northern,1/11/1915,151.1081745,-33.6887073
Auburn,AUB,Main Suburban,18/2/1877,151.0327747,-33.8493342
Banksia,BAN,Illawarra,21/10/1906,151.140458,-33.94519
Bankstown,BNK,Bankstown,14/04/1909,151.0341437,-33.9178532
Bardwell Park,BPK,East Hills,21/09/1931,151.1253131,-33.9313462
Beecroft,BCF,Main Northern,17/9/1886,151.0666703,-33.7494775
Belmore,BMR,Bankstown,1/2/1895,151.0883315,-33.917181
Berala,BAA,Main South,11/11/1912,151.0324957,-33.8716223
Berowra,BEW,Main Northern,7/4/1887,151.1529859,-33.6233665
Beverly Hills,BVH,East Hills,21/09/1931,151.0810102,-33.9490886
Bexley North,BXN,East Hills,21/09/1931,151.1136524,-33.9374584
Birrong,BRG,Bankstown,16/07/1928,151.0239787,-33.8928869
Blacktown,BAK,Main Western,4/7/1860,150.9072636,-33.7685054
Bondi Junction,BJN,Eastern Suburbs,23/06/1979,151.2484687,-33.8910387
Burwood,BUW,Main Suburban,26/9/1855,151.1039008,-33.8770386
Cabramatta,CAB,Main South,12/02/1905,150.9388232,-33.8947601
Camellia,CEL,Carlingford,21/1/1885,151.0240696,-33.8189516
Campbelltown,CTN,Main South,17/5/1858,150.8145699,-34.0634601
Campsie,CMP,Bankstown,1/2/1895,151.1034893,-33.9104129
Canley Vale,CVE,Old Main South,15/4/1878,150.9434962,-33.8873656
Canterbury,CTB,Bankstown,1/2/1895,151.1189744,-33.9120653
Caringbah,CIH,Cronulla,16/12/1939,151.1221247,-34.041611
Carlingford,CGF,Carlingford,20/4/1896,151.0471415,-33.782135
Carlton,CLJ,Illawarra,3/03/1905,151.1243625,-33.9682746
Carramar,CMR,Main South,8/10/1924,150.9610081,-33.8845142
Casula,CSL,Main South,1/11/1894,150.9118169,-33.9501839
Central,CEN,Main Suburban,26/9/1855,151.2065819,-33.8826209
Chatswood,CWD,North Shore,1/1/1890,151.1808943,-33.7970939
Cheltenham,CHA,Main Northern,10/10/1898,151.0785393,-33.755699
Chester Hill,CHH,Main South,8/10/1924,150.9998399,-33.8835937
Circular Quay,CQY,City Circle,22/01/1956,151.2108216,-33.8613056
Clarendon,CRD,Richmond,12/02/1905,150.7880152,-33.6086262
Clyde,CYE,Main Suburban,24/02/1905,151.0165296,-33.8356783
Como,CMO,Illawarra,26/12/1885,151.0681421,-34.0045866
Concord West,CDW,Main Northern,1/9/1887,151.0856552,-33.848586
Cronulla,CNL,Cronulla,16/12/1939,151.1515177,-34.0557489
Croydon,CYD,Main Suburban,7/1/1875,151.1150945,-33.8832136
Denistone,DST,Main Northern,26/09/1937,151.0869192,-33.7996626
Domestic Airport,DOM,Airport,21/05/2000,151.1807518,-33.9337438
Doonside,DOD,Main Western,27/9/1880,150.868858,-33.7638836
Dundas,DUN,Carlingford,20/4/1896,151.0330836,-33.8037891
Dulwich Hill,DHM,Bankstown,1/2/1895,151.1411708,-33.9110628
East Hills,EHS,East Hills,21/12/1931,150.9846693,-33.9619365
East Richmond,ERD,Richmond,2/07/1939,150.7590569,-33.6017605
Eastwood,EWD,Main Northern,17/9/1886,151.0822352,-33.7901317
